time,block_id,x,y,z,isLocked,isHeld
60.3000,Block3,-7.1357,-49.0000,3.8935,0,0
60.3000,Block4,5.7791,-49.0000,8.1624,0,0
60.3000,Block5,-4.7560,-49.0000,6.6120,0,0
60.3200,Block0,-8.3463,-49.0000,-10.4779,1,0
60.3200,Block1,-6.0021,-49.0000,-1.3413,0,0
60.3200,Block2,5.5845,-49.0000,4.7079,0,0
60.3200,Block3,-7.1357,-49.0000,3.8935,0,0
60.3200,Block4,5.7791,-49.0000,8.1624,0,0
60.3200,Block5,-4.7560,-49.0000,6.6120,0,0
60.3400,Block0,-8.3463,-49.0000,-10.4779,1,0
60.3400,Block1,-6.0021,-49.0000,-1.3413,0,0
60.3400,Block2,5.5845,-49.0000,4.7079,0,0
60.3400,Block3,-7.1357,-49.0000,3.8935,0,0
60.3400,Block4,5.7791,-49.0000,8.1624,0,0
60.3400,Block5,-4.7560,-49.0000,6.6120,0,0
60.3600,Block0,-8.3463,-49.0000,-10.4779,1,0
60.3600,Block1,-6.0021,-49.0000,-1.3413,0,0
60.3600,Block2,5.5845,-49.0000,4.7079,0,0
60.3600,Block3,-7.1357,-49.0000,3.8935,0,0
60.3600,Block4,5.7791,-49.0000,8.1624,0,0
60.3600,Block5,-4.7560,-49.0000,6.6120,0,0
60.3800,Block0,-8.3463,-49.0000,-10.4779,1,0
60.3800,Block1,-6.0021,-49.0000,-1.3413,0,0
60.3800,Block2,5.5845,-49.0000,4.7079,0,0
60.3800,Block3,-7.1357,-49.0000,3.8935,0,0
60.3800,Block4,5.7791,-49.0000,8.1624,0,0
60.3800,Block5,-4.7560,-49.0000,6.6120,0,0
60.4000,Block0,-8.3463,-49.0000,-10.4779,1,0
60.4000,Block1,-6.0021,-49.0000,-1.3413,0,0
60.4000,Block2,5.5845,-49.0000,4.7079,0,0
60.4000,Block3,-7.1357,-49.0000,3.8935,0,0
60.4000,Block4,5.7791,-49.0000,8.1624,0,0
60.4000,Block5,-4.7560,-49.0000,6.6120,0,0
60.4200,Block0,-8.3463,-49.0000,-10.4779,1,0
60.4200,Block1,-6.0021,-49.0000,-1.3413,0,0
60.4200,Block2,5.5845,-49.0000,4.7079,0,0
60.4200,Block3,-7.1357,-49.0000,3.8935,0,0
