time,block_id,x,y,z,isLocked,isHeld
150.0000,Block0,-2.0432,-49.0000,-4.8299,0,0
150.0000,Block1,6.1112,-49.0000,-7.0484,0,0
150.0000,Block2,-7.4232,-49.0000,-10.5415,0,0
150.0000,Block3,1.5538,-49.0000,3.4334,0,0150.0199,Block0,-2.1268,-19.0000,0.0636,0,0
150.0199,Block1,-5.3421,-19.0000,6.6212,0,0
150150.0199,Block0,-2.0432,-49.0000,-4.8299,0,0
150.0199,Block1,6.1112,-49.0000,-7.0484,0150.0399,Block0,-2.1269,-19.0000,0.0636,0,0
150.0399,Block1,-5.3421,-19.0000,6.6212,0,0
150.0399,Block2,-1.8514,-19.0000,5.9185,0,0
150.0399,Block3,-8.0972,-19.0000,3.7356,0,0
150.0600,Block0,-2.1269,-19.0000,0.0636,0,0
150.0600,Block1,-5.3421,-19.0000,6.6212,0,0
150.0600,Block2,-1.8514,-19.0000,5.9185,0,0
150.0600,Block3,-8.0972,-19.0000,3.7356,0,0
150.0799,Block0,-2.1269,-19.0000,0.0636,0,0
150.0799,Block1,-5.3421,-19.0000,6.6212,0,0
150.0799,Block2,-1.8514,-19.0000,5.9185,0,0
150.0799,Block3,-8.0972,-19.0000,3.7356,0,0
150.0999,Block0,-2.1269,-19.0000,0.0636,0,0
150.0999,Block1,-5.3421,-19.0000,6.6212,0,0
150.0999,Block2,-1.8514,-19.0000,5.9185,0,0
150.0999,Block3,-8.0972,-19.0000,3.7356,0,0
150.1199,Block0,-2.1269,-19.0000,0.0636,0,0
150.1199,Block1,-5.3421,-19.0000,6.6212,0,0
150.1199,Block2,-1.8514,-19.0000,5.9185,0,0
150.1199,Block3,-8.0972,-19.0000,3.7356,0,0
150.1400,Block0,-2.1269,-19.0000,0.0636,0,0
150.1400,Block1,-5.3421,-19.0000,6.6212,0,0
150.1400,Block2,-1.8514,-19.0000,5.9185,0,0
150.1400,Block3,-8.0972,-19.0000,3.7356,0,0
150.1599,Block0,-2.1269,-19.0000,0.0636,0,0
150.1599,Block1,-5.3421,-19.0000,6.6212,0,0
150.1599,Block2,-1.8514,-19.0000,5.9185,0,0
150.1599,Block3,-8.0972,-19.0000,3.7356,0,0
150.1799,Block0,-2.1269,-19.0000,0.0636,0,0
150.1799,Block1,-5.3421,-19.0000,6.6212,0,0
150.1799,Block2,-1.8514,-19.0000,5.9185,0,0
150.1799,Block3,-8.0972,-19.0000,3.7356,0,0
150.2000,Block0,-2.1269,-19.0000,0.0636,0,0
150.2000,Block1,-5.3421,-19.0000,6.6212,0,0
150.2000,Block2,-1.8514,-19.0000,5.9185,0,0
150.2000,Block3,-8.0972,-19.0000,3.7356,0,0
150.2199,Block0,-2.1269,-19.0000,0.0636,0,0
150.2199,Block1,-5.3421,-19.0000,6.6212,0,0
150.2199,Block2,-1.8514,-19.0000,5.9185,0,0
150.2199,Block3,-8.0972,-19.0000,3.7356,0,0
