time,block_id,x,y,z,isLocked,isHeld
649.9998,Block0,-8.1120,-49.0000,-9.4189,0,0
649.9998,Block1,4.4744,-49.0000,1.2311,0,0
649.9998,Block2,9.4940,-49.0000,6.0929,650.0198,Block0,-6.1863,1.0000,-8.7454,0,0
650.0198,Block1,1.0891,1.0000,-1.9751,0,0
650.0198,Block2,3.4381,1.0000,7.1907,0,0
650.0398,Block0,-6.1863,1.0000,-8.7454,0,0
650.0398,Block1,1.0891,1.0000,-1.9751,0,0
650.0398,Block2,3.4381,1.0000,7.1907,0,0
650.0598,Block0,-6.1863,1.0000,-8.7454,0,0
650.0598,Block1,1.0891,1.0000,-1.9751,0,0
650.0598,Block2,3.4381,1.0000,7.1907,0,0
650.0798,Block0,-6.1863,1.0000,-8.7454,0,0
650.0798,Block1,1.0891,1.0000,-1.9751,0,0
650.0798,Block2,3.4381,1.0000,7.1907,0,0
650.0998,Block0,-6.1863,1.0000,-8.7454,0,0
650.0998,Block1,1.0891,1.0000,-1.9751,0,0
650.0998,Block2,3.4381,1.0000,7.1907,0,0
650.1198,Block0,-6.1863,1.0000,-8.7454,0,0
650.1198,Block1,1.0891,1.0000,-1.9751,0,0
650.1198,Block2,3.4381,1.0000,7.1907,0,0
650.1398,Block0,-6.1863,1.0000,-8.7454,0,0
650.1398,Block1,1.0891,1.0000,-1.9751,0,0
650.1398,Block2,3.4381,1.0000,7.1907,0,0
650.1598,Block0,-6.1863,1.0000,-8.7454,0,0
650.1598,Block1,1.0891,1.0000,-1.9751,0,0
650.1598,Block2,3.4381,1.0000,7.1907,0,0
650.1797,Block0,-6.1863,1.0000,-8.7454,0,0
650.1797,Block1,1.0891,1.0000,-1.9751,0,0
650.1797,Block2,3.4381,1.0000,7.1907,0,0
650.1998,Block0,-6.1863,1.0000,-8.7454,0,0
650.1998,Block1,1.0891,1.0000,-1.9751,0,0
650.1998,Block2,3.4381,1.0000,7.1907,0,0
650.2198,Block0,-6.1863,1.0000,-8.7454,0,0
650.2198,Block1,1.0891,1.0000,-1.9751,0,0
650.2198,Block2,3.4381,1.0000,7.1907,0,0
650.2397,Block0,-6.1863,1.0000,-8.7454,0,0
650.2397,Block1,1.0891,1.0000,-1.9751,0,0
650.2397,Block2,3.4381,1.0000,7.1907,0,0
650.2598,Block0,-6.1863,1.0000,-8.7454,0,0
650.2598,Block1,1.0891,1.0000,-1.9751,0,0
650.2598,Block2,3.4381,1.0000,7.1907,0,0
650.2798,Block0,-6.1863,1.0000,-8.7454,0,0
650.2798,Block1,1.0891,1.0000,-1.9751,0,0
650.2798,Block2,3.4381,1.0000,7.1907,0,0
650.2997,Block0,-6.1863,1.0000,-8.7454,0,0
650.2997,Block1,1.0891,1.0000,-1.9751,0,0
650.2997,Block2,3.4381,1.0000,7.1907,0,0
650.3198,Block0,-6.1863,1.0000,-8.7454,0,0
650.3198,Block1,1.0891,1.0000,-1.9751,0,0
650.3198,Block2,3.4381,1.0000,7.1907,0,0
650.3398,Block0,-6.1863,1.0000,-8.7454,0,0
650.3398,Block1,1.0891,1.0000,-1.9751,0,0
650.3398,Block2,3.4381,1.0000,7.1907,0,0
650.3597,Block0,-6.1863,1.0000,-8.7454,0,0
650.3597,Block1,1.0891,1.0000,-1.9751,0,0
650.3597,Block2,3.4381,1.0000,7.1907,0,0
650.3798,Block0,-6.1863,1.0000,-8.7454,0,0
650.3798,Block1,1.0891,1.0000,-1.9751,0,0
650.3798,Block2,3.4381,1.0000,7.1907,0,0
650.3998,Block0,-6.1863,1.0000,-8.7454,0,0
650.3998,Block1,1.0891,1.0000,-1.9751,0,0
650.3998,Block2,3.4381,1.0000,7.1907,0,0
650.4198,Block0,-6.1863,1.0000,-8.7454,0,0
650.4198,Block1,1.0891,1.0000,-1.9751,0,0
650.4198,Block2,3.4381,1.0000,7.1907,0,0
650.4398,Block0,-6.1863,1.0000,-8.7454,0,0
650.4398,Block1,1.0891,1.0000,-1.9751,0,0
650.4398,Block2,3.4381,1.0000,7.1907,0,0
650.4598,Block0,-6.1863,1.0000,-8.7454,0,0
650.4598,Block1,1.0891,1.0000,-1.9751,0,0
650.4598,Block2,3.4381,1.0000,7.1907,0,0
