time,x,y,z,isActive
199.9999,1.1075,-39.0000,-10.1536200.200.0199,1.1075,-39.0000,-10.200.0399200.0399,1.1075,-39.0000,200.0599,8.2200.0599,1.1075,-39.0200.0799,8.2042,200.0799,1.1075,-200.0999,8.2042,1.00200.0999,1.10200.1199,8.2042,1.0000,1200.1199,200.1399,8.2042,1.0000,1.476200.1200.1599,8.2042,1.0000,1.4761,12200.1799,8.2042,1.0000,1.4761,1
200.1999,8.2042,1.0000,1.4761,1
200.2199,8.2042,1.0000,1.4761,1
200.2399,8.2042,1.0000,1.4761,1
200.2599,8.2042,1.0000,1.4761,1
200.2799,8.2042,1.0000,1.4761,1
200.2999,8.2042,1.0000,1.4761,1
200.3199,8.2042,1.0000,1.4761,1
200.3399,8.2042,1.0000,1.4761,1
200.3599,8.2042,1.0000,1.4761,1
200.3799,8.2042,1.0000,1.4761,1
200.3999,8.2042,1.0000,1.4761,1
200.4199,8.2042,1.0000,1.4761,1
200.4399,8.2042,1.0000,1.4761,1
200.4599,8.2042,1.0000,1.4761,1
200.4799,8.2042,1.0000,1.4761,1
200.4999,8.2042,1.0000,1.4761,1
200.5199,8.2042,1.0000,1.4761,1
200.5399,8.2042,1.0000,1.4761,1
200.5599,8.2042,1.0000,1.4761,1
200.5799,8.2042,1.0000,1.4761,1
200.5999,8.2042,1.0000,1.4761,1
200.6199,8.2042,1.0000,1.4761,1
200.6399,8.2042,1.0000,1.4761,1
200.6599,8.2042,1.0000,1.4761,1
200.6799,8.2342,1.0000,1.3670,1
200.6999,8.2715,1.0000,1.2310,1
200.7199,8.3459,1.0000,1.1073,1
200.7399,8.4564,1.0000,1.0070,1
200.7599,8.5951,1.0000,0.9232,1
200.7799,8.7572,1.0000,0.8552,1
200.7999,8.9376,1.0000,0.7998,1
200.8199,9.1122,1.0000,0.7463,1
200.8399,9.2810,1.0000,0.6944,1
200.8599,9.4443,1.0000,0.6443,1
200.8799,9.6021,1.0000,0.5958,1
200.8999,9.7546,1.0000,0.5490,1
200.9199,9.9017,1.0000,0.5039,1
200.9399,10.0438,1.0000,0.4603,1
200.9599,10.1808,1.0000,0.4182,1
200.9799,10.3128,1.0000,0.3777,1
200.9999,10.4400,1.0000,0.3386,1
201.0199,10.5625,1.0000,0.3010,1
201.0399,10.6803,1.0000,0.2649,1
201.0599,10.7935,1.0000,0.2301,1
201.0799,10.9023,1.0000,0.1967,1
201.0999,11.0067,1.0000,0.1647,1
201.1199,11.1068,1.0000,0.1339,1
201.1399,11.2026,1.0000,0.1045,1
201.1599,11.2944,1.0000,0.0763,1
201.1799,11.3821,1.0000,0.0494,1
201.1999,11.4659,1.0000,0.0237,1
201.2199,11.5458,1.0000,-0.0008,1
201.2399,11.6218,1.0000,-0.0242,1
201.2599,11.6942,1.0000,-0.0464,1
201.2799,11.7629,1.0000,-0.0675,1
201.2999,11.8280,1.0000,-0.0875,1
201.3199,11.8896,1.0000,-0.1064,1
201.3399,11.8779,1.0000,-0.1234,1
201.3599,11.8756,1.0000,-0.1378,1
201.3799,11.8751,1.0000,-0.1495,1
201.3999,11.8750,1.0000,-0.1587,1
201.4199,11.8750,1.0000,-0.1655,1
201.4399,11.8750,1.0000,-0.1698,1
201.4599,11.8750,1.0000,-0.1717,1
201.4799,11.8750,1.0000,-0.1717,1
201.4999,11.8750,1.0000,-0.1717,1
201.5199,11.8750,1.0000,-0.1717,1
201.5399,11.8750,1.0000,-0.1717,1
201.5599,11.8750,1.0000,-0.1717,1
201.5799,11.8750,1.0000,-0.1112,1
201.5999,11.8750,1.0000,-0.0582,1
201.6199,11.8750,1.0000,-0.0081,1
201.6399,11.8750,1.0000,0.0387,1
201.6599,11.8750,1.0000,0.0823,1
201.6799,11.8750,1.0000,0.1227,1
201.6999,11.8750,1.0000,0.1600,1
201.7199,11.8750,1.0000,0.1942,1
201.7399,11.8750,1.0000,0.2254,1
201.7599,11.8750,1.0000,0.2537,1
201.7799,11.8650,1.0000,0.1527,1
201.7999,11.8629,1.0000,0.0624,1
201.8199,11.8642,1.0000,-0.0109,1
201.8399,11.8663,1.0000,-0.0779,1
201.8599,11.8682,1.0000,-0.1409,1
201.8799,11.8699,1.0000,-0.2004,1
201.8999,11.8716,1.0000,-0.2558,1
201.9199,11.8732,1.0000,-0.3065,1
201.9399,11.8746,1.0000,-0.3515,1
201.9599,11.8756,1.0000,-0.3903,1
201.9799,11.8757,1.0000,-0.4231,1
201.9999,11.8757,1.0000,-0.4510,1
202.0199,11.8757,1.0000,-0.4738,1
202.0399,11.8756,1.0000,-0.4916,1
202.0599,11.8756,1.0000,-0.5048,1
202.0799,11.8755,1.0000,-0.5131,1
202.0999,11.8754,1.0000,-0.5167,1
202.1199,11.8754,1.0000,-0.5170,1
202.1399,11.8753,1.0000,-0.5170,1
202.1599,11.8753,1.0000,-0.5170,1
202.1799,11.8752,1.0000,-0.5170,1
202.1999,11.8752,1.0000,-0.5170,1
202.2199,11.8752,1.0000,-0.5170,1
202.2399,11.8751,1.0000,-0.5170,1
202.2599,11.8751,1.0000,-0.5170,1
202.2799,11.8751,1.0000,-0.5170,1
202.2999,11.8751,1.0000,-0.5169,1
202.3199,11.8751,1.0000,-0.5169,1
202.3399,11.8751,1.0000,-0.5169,1
202.3599,11.8750,1.0000,-0.5169,1
202.3799,11.8750,1.0000,-0.5169,1
202.3999,11.8750,1.0000,-0.5169,1
202.4199,11.8750,1.0000,-0.5169,1
202.4399,11.8750,1.0000,-0.5169,1
202.4599,11.8750,1.0000,-0.5169,1
202.4799,11.8750,1.0000,-0.5169,1
202.4999,11.8750,1.0000,-0.5169,1
202.5199,11.8750,1.0000,-0.5169,1
202.5399,11.8750,1.0000,-0.5169,1
202.5599,11.8750,1.0000,-0.5169,1
202.5799,11.8750,1.0000,-0.5169,1
202.5999,11.8750,1.0000,-0.5169,1
202.6199,11.8750,1.0000,-0.5169,1
202.6399,11.8750,1.0000,-0.5169,1
202.6599,11.8750,1.0000,-0.5169,1
202.6799,11.8750,1.0000,-0.5169,1
202.6999,11.8750,1.0000,-0.5169,1
202.7199,11.8750,1.0000,-0.5169,1
202.7399,11.8750,1.0000,-0.5169,1
202.7599,11.8750,1.0000,-0.5169,1
202.7799,11.8750,1.0000,-0.5169,1
202.7999,11.8750,1.0000,-0.5169,1
202.8199,11.8750,1.0000,-0.5169,1
202.8399,11.8750,1.0000,-0.5169,1
202.8599,11.8750,1.0000,-0.5169,1
202.8799,11.8750,1.0000,-0.5169,1
202.8999,11.8750,1.0000,-0.5169,1
202.9199,11.8750,1.0000,-0.5169,1
202.9399,11.8750,1.0000,-0.5169,1
202.9599,11.8750,1.0000,-0.5169,1
202.9799,11.8750,1.0000,-0.5169,1
202.9999,11.8750,1.0000,-0.5169,1
203.0199,11.8750,1.0000,-0.5169,1
203.0399,11.8750,1.0000,-0.5169,1
203.0599,11.8750,1.0000,-0.5161,1
203.0799,11.8750,1.0000,-0.5149,1
203.0999,11.8750,1.0000,-0.5147,1
203.1199,11.8750,1.0000,-0.5425,1
203.1399,11.8750,1.0000,-0.5839,1
203.1599,11.8750,1.0000,-0.6323,1
203.1799,11.8750,1.0000,-0.6890,1
203.1999,11.8750,1.0000,-0.7509,1
203.2199,11.8750,1.0000,-0.8201,1
203.2399,11.8750,1.0000,-0.9090,1
203.2599,11.8750,1.0000,-1.0008,1
203.2799,11.8750,1.0000,-1.0879,1
203.2999,11.8750,1.0000,-1.1709,1
203.3199,11.8750,1.0000,-1.2500,1
203.3399,11.8750,1.0000,-1.3252,1
203.3599,11.8750,1.0000,-1.3965,1
203.3799,11.8750,1.0000,-1.4641,1
203.3999,11.8750,1.0000,-1.5281,1
203.4199,11.8750,1.0000,-1.5885,1
