time,x,y,z,isActive
669.9998,-3.0644,-49.0000,-1.8988,667670.0198,-3.0644,-49.0000,-1.8967670.670.0397,-3.0644,-49.0000,-1670670.05670.0598,-3.0644,-49.0000670.670.0798670.0798,-3.0644,-49.0670.0670.0998,5670.0998,-3.0644,-4670.11670.1198,5.1670.1198,-3.0644670.139670.1398,5.141670.1398,-3.0670.1598670.1598,5.1415,670.1598,-670.1797,670.1797,5.1415,-1670.179670.1998,1670.1998,5.1415,-19.670.670.2198,10670.2198,5.1415,-19.006670.2397,10.670.2397,5.1415,-19.00670.2598,10.0670.2598,5.1415,-19.0670.2798,10.04670.2798,5.1415,-19.670.2997,10.042670.2997,5.1415,-19670.3198,10.0426670.3198,5.1415,-1670.3398,10.0426,670.3398,5.1415,-670.3597,10.0426,1670.3597,5.1415,670.3798,10.0426,1.670.3798,5.1415670.3998,10.0426,1.0670.3998,5.141670.4197,10.0426,1.00670.4197,5.14670.4398,10.0426,1.000670.4398,5.1670.4598,10.0426,1.0000670.4598,5.670.4797,10.0426,1.0000,670.4797,5670.4998,10.0426,1.0000,6670.4998,670.5198,10.0426,1.0000,6.670.5198670.5397,10.0426,1.0000,6.0670.539670.5598,10.0426,1.0000,6.08670.55670.5798,10.0426,1.0000,6.089670.5670.5998,10.0426,1.0000,6.0894670.670.6198,10.0426,1.0000,6.0894,670670.6398,10.0426,1.0000,6.0894,167670.6598,10.0426,1.0000,6.0894,16670.6797,10.0426,1.0000,6.0894,1
670.6998,10.0426,1.0000,6.0894,1
670.7198,10.0426,1.0000,6.0894,1
670.7397,10.0426,1.0000,6.0894,1
670.7598,10.0426,1.0000,6.0894,1
670.7798,10.0426,1.0000,6.0894,1
670.7997,10.0426,1.0000,6.0894,1
670.8198,10.0426,1.0000,6.0894,1
670.8398,10.0426,1.0000,6.0894,1
670.8597,10.0426,1.0000,6.0894,1
670.8798,10.0426,1.0000,6.0894,1
670.8998,10.0426,1.0000,6.0894,1
670.9197,10.0426,1.0000,6.0894,1
670.9398,10.0426,1.0000,6.0894,1
670.9598,10.0426,1.0000,6.0894,1
670.9797,10.0426,1.0000,6.0894,1
670.9998,10.0426,1.0000,6.0894,1
671.0198,10.0426,1.0000,6.0894,1
671.0397,10.0426,1.0000,6.0894,1
671.0598,10.0426,1.0000,6.0894,1
671.0798,10.0426,1.0000,6.0894,1
671.0998,10.0426,1.0000,6.0894,1
671.1198,10.0426,1.0000,6.0894,1
671.1398,10.0426,1.0000,6.0894,1
671.1598,10.0426,1.0000,6.0894,1
671.1797,10.0426,1.0000,6.0894,1
671.1998,10.0426,1.0000,6.0894,1
671.2198,10.0426,1.0000,6.0894,1
671.2397,10.0426,1.0000,6.0894,1
671.2598,10.0426,1.0000,6.0894,1
671.2798,10.0426,1.0000,6.0894,1
671.2997,10.0426,1.0000,6.0894,1
671.3198,10.0426,1.0000,6.0894,1
671.3398,10.0426,1.0000,6.0894,1
671.3597,10.0426,1.0000,6.0894,1
671.3798,10.0426,1.0000,6.0894,1
671.3998,10.0426,1.0000,6.0894,1
671.4197,10.0426,1.0000,6.0894,1
671.4398,10.0426,1.0000,6.0894,1
671.4598,10.0426,1.0000,6.0894,1
671.4797,10.0426,1.0000,6.0894,1
671.4998,10.0426,1.0000,6.0894,1
671.5198,10.0426,1.0000,6.0894,1
671.5397,10.0426,1.0000,6.0894,1
671.5598,10.0426,1.0000,6.0894,1
671.5798,10.0426,1.0000,6.0894,1
671.5998,10.0426,1.0000,6.0894,1
671.6198,10.0426,1.0000,6.0894,1
671.6398,10.0426,1.0000,6.0894,1
671.6598,10.0426,1.0000,6.0894,1
671.6797,10.0426,1.0000,6.0894,1
671.6998,10.0426,1.0000,6.0894,1
671.7198,10.0426,1.0000,6.0894,1
671.7397,10.0426,1.0000,6.0894,1
671.7598,10.0426,1.0000,6.0894,1
671.7798,10.0426,1.0000,6.0894,1
671.7997,10.0426,1.0000,6.0894,1
671.8198,10.0426,1.0000,6.0894,1
671.8398,10.0426,1.0000,6.0894,1
671.8597,10.0426,1.0000,6.0894,1
671.8798,10.0426,1.0000,6.0894,1
671.8998,10.0426,1.0000,6.0894,1
671.9197,10.0426,1.0000,6.0894,1
671.9398,10.0426,1.0000,6.0894,1
671.9598,10.0426,1.0000,6.0894,1
671.9797,10.0426,1.0000,6.0894,1
671.9998,10.0426,1.0000,6.0894,1
672.0198,10.0426,1.0000,6.0894,1
672.0397,10.0426,1.0000,6.0894,1
672.0598,10.0426,1.0000,6.0894,1
672.0798,10.0426,1.0000,6.0894,1
672.0997,10.0426,1.0000,6.0894,1
672.1198,10.0426,1.0000,6.0894,1
672.1398,10.0426,1.0000,6.0894,1
672.1598,10.0426,1.0000,6.0894,1
672.1797,10.0426,1.0000,6.0894,1
672.1998,10.0426,1.0000,6.0894,1
672.2198,10.0426,1.0000,6.0894,1
672.2397,10.0426,1.0000,6.0894,1
672.2598,10.0426,1.0000,6.0894,1
672.2798,10.0426,1.0000,6.0894,1
672.2997,10.0426,1.0000,6.0894,1
672.3198,10.0426,1.0000,6.0894,1
672.3398,10.0426,1.0000,6.0894,1
672.3597,10.0426,1.0000,6.0894,1
672.3798,10.0426,1.0000,6.0894,1
672.3998,10.0426,1.0000,6.0894,1
672.4197,10.0426,1.0000,6.0894,1
672.4398,10.0426,1.0000,6.0894,1
672.4598,10.0426,1.0000,6.0894,1
672.4797,10.0426,1.0000,6.0894,1
672.4998,10.0426,1.0000,6.0894,1
672.5198,10.0426,1.0000,6.0894,1
672.5397,10.0426,1.0000,6.0894,1
672.5598,10.0426,1.0000,6.0894,1
672.5798,10.0426,1.0000,6.0894,1
672.5997,10.0426,1.0000,6.0894,1
672.6198,10.0426,1.0000,6.0894,1
672.6398,10.0426,1.0000,6.0894,1
672.6598,10.0426,1.0000,6.0894,1
672.6797,10.0426,1.0000,6.0894,1
672.6998,10.0426,1.0000,6.0894,1
672.7198,10.0426,1.0000,6.0894,1
672.7397,10.0426,1.0000,6.0894,1
672.7598,10.0426,1.0000,6.0894,1
672.7798,10.0426,1.0000,6.0894,1
672.7997,10.0426,1.0000,6.0894,1
672.8198,10.0426,1.0000,6.0894,1
672.8398,10.0426,1.0000,6.0894,1
672.8597,10.0426,1.0000,6.0894,1
672.8798,10.0426,1.0000,6.0894,1
672.8998,10.0426,1.0000,6.0894,1
672.9197,10.0426,1.0000,6.0894,1
672.9398,10.0426,1.0000,6.0894,1
672.9598,10.0426,1.0000,6.0894,1
672.9797,10.0426,1.0000,6.0894,1
672.9998,10.0426,1.0000,6.0894,1
673.0198,10.0426,1.0000,6.0894,1
673.0397,10.0426,1.0000,6.0894,1
673.0598,10.0426,1.0000,6.0894,1
673.0798,10.0426,1.0000,6.0894,1
673.0997,10.0426,1.0000,6.0894,1
673.1198,10.0426,1.0000,6.0894,1
673.1398,10.0426,1.0000,6.0894,1
673.1598,10.0426,1.0000,6.0894,1
673.1797,10.0426,1.0000,6.0894,1
