time,block_id,x,y,z,isLocked,isHeld
660.5998,Block1,-1.7668,-49.0000,6.9376,0,0
660.5998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6198,Block0,-6.5648,-49.0000,4.3015,0,0
660.6198,Block1,-1.7668,-49.0000,6.9376,0,0
660.6198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6398,Block0,-6.5648,-49.0000,4.3015,0,0
660.6398,Block1,-1.7668,-49.0000,6.9376,0,0
660.6398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6598,Block0,-6.5648,-49.0000,4.3015,0,0
660.6598,Block1,-1.7668,-49.0000,6.9376,0,0
660.6598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6797,Block0,-6.5648,-49.0000,4.3015,0,0
660.6797,Block1,-1.7668,-49.0000,6.9376,0,0
660.6797,Block2,-8.3952,-49.0000,-7.7418,0,0
660.6998,Block0,-6.5648,-49.0000,4.3015,0,0
660.6998,Block1,-1.7668,-49.0000,6.9376,0,0
660.6998,Block2,-8.3952,-49.0000,-7.7418,0,0
660.7198,Block0,-6.5648,-49.0000,4.3015,0,0
660.7198,Block1,-1.7668,-49.0000,6.9376,0,0
660.7198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.7397,Block0,-6.5648,-49.0000,4.3015,0,0
660.7397,Block1,-1.7668,-49.0000,6.9376,0,0
660.7397,Block2,-8.3952,-49.0000,-7.7418,0,0
660.7598,Block0,-6.5648,-49.0000,4.3015,0,0
660.7598,Block1,-1.7668,-49.0000,6.9376,0,0
660.7598,Block2,-8.3952,-49.0000,-7.7418,0,0
660.7798,Block0,-6.5648,-49.0000,4.3015,0,0
660.7798,Block1,-1.7668,-49.0000,6.9376,0,0
660.7798,Block2,-8.3952,-49.0000,-7.7418,0,0
660.7997,Block0,-6.5648,-49.0000,4.3015,0,0
660.7997,Block1,-1.7668,-49.0000,6.9376,0,0
660.7997,Block2,-8.3952,-49.0000,-7.7418,0,0
660.8198,Block0,-6.5648,-49.0000,4.3015,0,0
660.8198,Block1,-1.7668,-49.0000,6.9376,0,0
660.8198,Block2,-8.3952,-49.0000,-7.7418,0,0
660.8398,Block0,-6.5648,-49.0000,4.3015,0,0
660.8398,Block1,-1.7668,-49.0000,6.9376,0,0
660.8398,Block2,-8.3952,-49.0000,-7.7418,0,0
660.8597,Block0,-6.5648,-49.0000,4.3015,0,0
660.8597,Block1,-1.7668,-49.0000,6.9376,0,0
