time,x,y,z,isActive
449.9998,2.5807,-49.0000,-7.6874,145450.0198,2.5807,-49.0000,-7.6874450.450.0398,2.5807,-49.0000,-7.68450.05450.0598,2.5807,-49.0000,-7.450.0798450.0798,2.5807,-49.0000,-450.0999,5450.0999,2.5807,-49.0000450.1198,5.4450.1198,2.5807,-49.00450.1398,5.495450.1398,2.5807,-49.450.1599,5.4953,450.1599,2.5807,-4450.1798,5.4953,1.450.1798,2.5807,450.1998,5.4953,1.00450.1998,2.580450.2198,5.4953,1.0000450.2198,2.5450.2398,5.4953,1.0000,-450.2398,2450.2598,5.4953,1.0000,-6.450.2598450.2798,5.4953,1.0000,-6.25450.27450.2998,5.4953,1.0000,-6.2518450.450.3199,5.4953,1.0000,-6.2518,145450.3398,5.4953,1.0000,-6.2518,1
450.3598,5.4953,1.0000,-6.2518,1
450.3799,5.4953,1.0000,-6.2518,1
450.3998,5.4953,1.0000,-6.2518,1
450.4198,5.4953,1.0000,-6.2518,1
450.4398,5.4953,1.0000,-6.2518,1
450.4598,5.4953,1.0000,-6.2518,1
450.4798,5.4953,1.0000,-6.2518,1
450.4998,5.4953,1.0000,-6.2518,1
450.5198,5.4953,1.0000,-6.2518,1
450.5398,5.4953,1.0000,-6.2518,1
450.5598,5.4953,1.0000,-6.2518,1
450.5798,5.4953,1.0000,-6.2518,1
450.5999,5.4953,1.0000,-6.2518,1
450.6198,5.4953,1.0000,-6.2518,1
450.6398,5.4953,1.0000,-6.2518,1
450.6599,5.4953,1.0000,-6.2518,1
450.6798,5.4953,1.0000,-6.2518,1
450.6998,5.4953,1.0000,-6.2518,1
450.7198,5.4953,1.0000,-6.2518,1
450.7398,5.4953,1.0000,-6.2518,1
450.7598,5.4953,1.0000,-6.2518,1
450.7798,5.4953,1.0000,-6.2518,1
450.7998,5.4953,1.0000,-6.2518,1
450.8199,5.4953,1.0000,-6.2518,1
450.8398,5.4953,1.0000,-6.2518,1
450.8598,5.4953,1.0000,-6.2518,1
450.8799,5.4953,1.0000,-6.2518,1
450.8998,5.4953,1.0000,-6.2518,1
450.9198,5.4953,1.0000,-6.2518,1
450.9398,5.4953,1.0000,-6.2518,1
450.9598,5.4953,1.0000,-6.2518,1
