time,block_id,x,y,z,isLocked,isHeld
20.6200,Block0,7.9619,-9.0000,-9.1759,0,0
20.6200,Block1,9.1518,-9.0000,9.5642,0,0
20.6200,Block2,-1.6718,-9.0000,5.1601,0,0
20.6400,Block0,7.9619,-9.0000,-9.1759,0,0
20.6400,Block1,9.1518,-9.0000,9.5642,0,0
20.6400,Block2,-1.6718,-9.0000,5.1601,0,0
20.6600,Block0,7.9619,-9.0000,-9.1759,0,0
20.6600,Block1,9.1518,-9.0000,9.5642,0,0
20.6600,Block2,-1.6718,-9.0000,5.1601,0,0
20.6800,Block0,7.9619,-9.0000,-9.1759,0,0
20.6800,Block1,9.1518,-9.0000,9.5642,0,0
20.6800,Block2,-1.6718,-9.0000,5.1601,0,0
20.7000,Block0,7.9619,-9.0000,-9.1759,0,0
20.7000,Block1,9.1518,-9.0000,9.5642,0,0
20.7000,Block2,-1.6718,-9.0000,5.1601,0,0
20.7200,Block0,7.9619,-9.0000,-9.1759,0,0
20.7200,Block1,9.1518,-9.0000,9.5642,0,0
20.7200,Block2,-1.6718,-9.0000,5.1601,0,0
20.7400,Block0,7.9619,-9.0000,-9.1759,0,0
20.7400,Block1,9.1518,-9.0000,9.5642,0,0
20.7400,Block2,-1.6718,-9.0000,5.1601,0,0
20.7600,Block0,7.9619,-9.0000,-9.1759,0,0
20.7600,Block1,9.1518,-9.0000,9.5642,0,0
20.7600,Block2,-1.6718,-9.0000,5.1601,0,0
20.7800,Block0,7.9619,-9.0000,-9.1759,0,0
20.7800,Block1,9.1518,-9.0000,9.5642,0,0
20.7800,Block2,-1.6718,-9.0000,5.1601,0,0
20.8000,Block0,7.9619,-9.0000,-9.1759,0,0
20.8000,Block1,9.1518,-9.0000,9.5642,0,0
20.8000,Block2,-1.6718,-9.0000,5.1601,0,0
20.8200,Block0,7.9619,-9.0000,-9.1759,0,0
20.8200,Block1,9.1518,-9.0000,9.5642,0,0
20.8200,Block2,-1.6718,-9.0000,5.1601,0,0
20.8400,Block0,7.9619,-9.0000,-9.1759,0,0
20.8400,Block1,9.1518,-9.0000,9.5642,0,0
20.8400,Block2,-1.6718,-9.0000,5.1601,0,0
20.8600,Block0,7.9619,-9.0000,-9.1759,0,0
20.8600,Block1,9.1518,-9.0000,9.5642,0,0
20.8600,Block2,-1.6718,-9.0000,5.1601,0,0
20.8800,Block0,7.9619,-9.0000,-9.1759,0,0
20.8800,Block1,9.1518,-9.0000,9.5642,0,0
20.8800,Block2,-1.6718,-9.0000,5.1601,0,0
20.9000,Block0,7.9619,-9.0000,-9.1759,0,0
20.9000,Block1,9.1518,-9.0000,9.5642,0,0
20.9000,Block2,-1.6718,-9.0000,5.1601,0,0
20.9200,Block0,7.9619,-9.0000,-9.1759,0,0
20.9200,Block1,9.1518,-9.0000,9.5642,0,0
20.9200,Block2,-1.6718,-9.0000,5.1601,0,0
20.9400,Block0,7.9619,-9.0000,-9.1759,0,0
20.9400,Block1,9.1518,-9.0000,9.5642,0,0
20.9400,Block2,-1.6718,-9.0000,5.1601,0,0
20.9600,Block0,7.9619,-9.0000,-9.1759,0,0
20.9600,Block1,9.1518,-9.0000,9.5642,0,0
20.9600,Block2,-1.6718,-9.0000,5.1601,0,0
20.9800,Block0,7.9619,-9.0000,-9.1759,0,0
20.9800,Block1,9.1518,-9.0000,9.5642,0,0
20.9800,Block2,-1.6718,-9.0000,5.1601,0,0
21.0000,Block0,7.9619,-9.0000,-9.1759,0,0
21.0000,Block1,9.1518,-9.0000,9.5642,0,0
21.0000,Block2,-1.6718,-9.0000,5.1601,0,0
21.0200,Block0,7.9619,-9.0000,-9.1759,0,0
21.0200,Block1,9.1518,-9.0000,9.5642,0,0
21.0200,Block2,-1.6718,-9.0000,5.1601,0,0
21.0400,Block0,7.9619,-9.0000,-9.1759,0,0
21.0400,Block1,9.1518,-9.0000,9.5642,0,0
21.0400,Block2,-1.6718,-9.0000,5.1601,0,0
21.0600,Block0,7.9619,-9.0000,-9.1759,0,0
21.0600,Block1,9.1518,-9.0000,9.5642,0,0
21.0600,Block2,-1.6718,-9.0000,5.1601,0,0
21.0800,Block0,7.9619,-9.0000,-9.1759,0,0
21.0800,Block1,9.1518,-9.0000,9.5642,0,0
21.0800,Block2,-1.6718,-9.0000,5.1601,0,0
21.1000,Block0,7.9619,-9.0000,-9.1759,0,0
21.1000,Block1,9.1518,-9.0000,9.5642,0,0
21.1000,Block2,-1.6718,-9.0000,5.1601,0,0
21.1200,Block0,7.9619,-9.0000,-9.1759,0,0
21.1200,Block1,9.1518,-9.0000,9.5642,0,0
21.1200,Block2,-1.6718,-9.0000,5.1601,0,0
21.1400,Block0,7.9619,-9.0000,-9.1759,0,0
21.1400,Block1,9.1518,-9.0000,9.5642,0,0
21.1400,Block2,-1.6718,-9.0000,5.1601,0,0
21.1600,Block0,7.9619,-9.0000,-9.1759,0,0
21.1600,Block1,9.1518,-9.0000,9.5642,0,0
21.1600,Block2,-1.6718,-9.0000,5.1601,0,0
21.1800,Block0,7.9619,-9.0000,-9.1759,0,0
21.1800,Block1,9.1518,-9.0000,9.5642,0,0
