time,block_id,x,y,z,isLocked,isHeld
809.9997,Block0,-4.1980,-49.0000,-1.8446,0,0
809.9997,Block1,7.0989,-49.0000,8.9743,0,0
809.9997,Block2,1.4067,-49.0000,-2.6700,0,0810.0810.0197,Block0,-0.4872,-39.0000,-0.9418,0,0
810.0197,Block1,10.3867,-39.0000,-1.5856,0,0
810.0197,Block2,-10.8351,-39810.0197,810.0397,B810.0397,Block0,-0.4872,-39.0000,-0.9418,0,0
810.0397,Block1,10.3867,-39.0000,-1.5856,0,0
810.0397,Block2,-10.8351,-39.000810.0597,Block0810.0597,Block0,-0.4872,-39.0000,-0.9418,0,0
810.0597,Block1,10.3867,-39.0000,-1.5856,0,0
810.0597,Block2,-10.8351,-3810.0797,Block0,3.86810.0797,Block0,-0.4872,-39.0000,-0.9418,0,0
810.0797,Block1,10.3867,-39.0000,-1.5856,0,0
810.0797,Block2,-10.83810.0997,Block0,3.8661,-9810.0997,Block0,-0.4872,-39.0000,-0.9418,0,0
810.0997,Block1,10.3867,-39.0000,-1.5856,0,0
810.0997,Block2,-810.1197,Block0,3.8661,-9.0000810.1197,Block0,-0.4872,-39.0000,-0.9418,0,0
810.1197,Block1,10.3867,-39.0000,-1.5856,0,0
810.1197,Blo810.1397,Block0,3.8661,-9.0000,5.96810.1397,Block0,-0.4872,-39.0000,-0.9418,0,0
810.1397,Block1,10.3867,-39.0000,-1.5856,0,0
810.139810.1597,Block0,3.8661,-9.0000,5.9682,0,810.1597,Block0,-0.4872,-39.0000,-0.9418,0,0
810.1597,Block1,10.3867,-39.0000,-1.5856,0,0
81810.1797,Block0,3.8661,-9.0000,5.9682,0,0
81810.1797,Block0,-0.4872,-39.0000,-0.9418,0,0
810.1797,Block1,10.3867,-39.0000,-1.5856,0,810.1997,Block0,3.8661,-9.0000,5.9682,0,0
810.199810.1997,Block0,-0.4872,-39.0000,-0.9418,0,0
810.1997,Block1,10.3867,-39.0000,-1.58810.2197,Block0,3.8661,-9.0000,5.9682,0,0
810.2197,Blo810.2197,Block0,-0.4872,-39.0000,-0.9418,0,0
810.2197,Block1,10.3867,-39.0000,810.2397,Block0,3.8661,-9.0000,5.9682,0,0
810.2397,Block1,-810.2397,Block0,-0.4872,-39.0000,-0.9418,0,0
810.2397,Block1,10.3867,-39.810.2597,Block0,3.8661,-9.0000,5.9682,0,0
810.2597,Block1,-10.28810.2597,Block0,-0.4872,-39.0000,-0.9418,0,0
810.2597,Block1,10.3867810.2797,Block0,3.8661,-9.0000,5.9682,0,0
810.2797,Block1,-10.2828,-9810.2797,Block0,-0.4872,-39.0000,-0.9418,0,0
810.2797,Block1,10810.2997,Block0,3.8661,-9.0000,5.9682,0,0
810.2997,Block1,-10.2828,-9.0000810.2997,Block0,-0.4872,-39.0000,-0.9418,0,0
810.2997,Bloc810.3197,Block0,3.8661,-9.0000,5.9682,0,0
810.3197,Block1,-10.2828,-9.0000,-3.2810.3197,Block0,-0.4872,-39.0000,-0.9418,0,0
810.3197810.3397,Block0,3.8661,-9.0000,5.9682,0,0
810.3397,Block1,-10.2828,-9.0000,-3.2748,0810.3397,Block0,-0.4872,-39.0000,-0.9418,0,0
810810.3597,Block0,3.8661,-9.0000,5.9682,0,0
810.3597,Block1,-10.2828,-9.0000,-3.2748,0,0
8810.3597,Block0,-0.4872,-39.0000,-0.9418,0,0810.3797,Block0,3.8661,-9.0000,5.9682,0,0
810.3797,Block1,-10.2828,-9.0000,-3.2748,0,0
810.37810.3797,Block0,-0.4872,-39.0000,-0.941810.3997,Block0,3.8661,-9.0000,5.9682,0,0
810.3997,Block1,-10.2828,-9.0000,-3.2748,0,0
810.3997,Bl810.3997,Block0,-0.4872,-39.0000,-810.4197,Block0,3.8661,-9.0000,5.9682,0,0
810.4197,Block1,-10.2828,-9.0000,-3.2748,0,0
810.4197,Block2,810.4197,Block0,-0.4872,-39.0810.4397,Block0,3.8661,-9.0000,5.9682,0,0
810.4397,Block1,-10.2828,-9.0000,-3.2748,0,0
810.4397,Block2,-0.29810.4397,Block0,-0.4872,810.4597,Block0,3.8661,-9.0000,5.9682,0,0
810.4597,Block1,-10.2828,-9.0000,-3.2748,0,0
810.4597,Block2,-0.2998,-9810.4597,Block0,-0.810.4797,Block0,3.8661,-9.0000,5.9682,0,0
810.4797,Block1,-10.2828,-9.0000,-3.2748,0,0
810.4797,Block2,-0.2998,-9.0000810.4797,Block810.4997,Block0,3.8661,-9.0000,5.9682,0,0
810.4997,Block1,-10.2828,-9.0000,-3.2748,0,0
810.4997,Block2,-0.2998,-9.0000,-6.9810.4997,810.5197,Block0,3.8661,-9.0000,5.9682,0,0
810.5197,Block1,-10.2828,-9.0000,-3.2748,0,0
810.5197,Block2,-0.2998,-9.0000,-6.9012,0810.810.5397,Block0,3.8661,-9.0000,5.9682,0,0
810.5397,Block1,-10.2828,-9.0000,-3.2748,0,0
810.5397,Block2,-0.2998,-9.0000,-6.9012,0,0
810.5597,Block0,3.8661,-9.0000,5.9682,0,0
810.5597,Block1,-10.2828,-9.0000,-3.2748,0,0
810.5597,Block2,-0.2998,-9.0000,-6.9012,0,0
810.5797,Block0,3.8661,-9.0000,5.9682,0,0
810.5797,Block1,-10.2828,-9.0000,-3.2748,0,0
810.5797,Block2,-0.2998,-9.0000,-6.9012,0,0
